studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
8,2011,96,4,DRA10,Q1,88,0
8,2011,96,4,ENG40,Q1,72,0
8,2011,96,4,HIST40,Q1,74,0
8,2011,96,4,MATH40,Q1,76,1
8,2011,96,4,RHET40,Q1,89,0
8,2011,96,4,SCI35,Q1,79,0
8,2011,96,4,SPAN30,Q1,82,0
22,2011,98,18,ENG30,Q1,73,0
22,2011,98,18,ENG78,Q1,76,0
22,2011,98,18,HIST30,Q1,85,1
22,2011,98,18,MATH30,Q1,73,1
22,2011,98,18,SCI30,Q1,75,0
30,2011,94,10,ENG45,Q1,70,1
30,2011,94,10,GYM10,Q1,62,1
30,2011,94,10,HIST40,Q1,81,0
30,2011,94,10,MATH40,Q1,54,1
30,2011,94,10,RHET40,Q1,86,0
30,2011,94,10,SCI40,Q1,87,1
30,2011,94,10,SPAN40,Q1,78,0
39,2011,100,16,DRA10,Q1,80,0
39,2011,100,16,ENG10,Q1,54,1
39,2011,100,16,ENG30,Q1,83,0
39,2011,100,16,HIST30,Q1,79,0
39,2011,100,16,MATH30,Q1,60,1
39,2011,100,16,SCI30,Q1,74,1
39,2011,100,16,SPAN20,Q1,63,1
59,2011,98,4,ART10,Q1,93,0
59,2011,98,4,ENG40,Q1,89,0
59,2011,98,4,HIST40,Q1,76,0
59,2011,98,4,MATH40,Q1,93,0
59,2011,98,4,RHET40,Q1,87,0
59,2011,98,4,SCI45,Q1,71,0
59,2011,98,4,SPAN40,Q1,67,0
66,2011,100,6,DRA10,Q1,85,0
66,2011,100,6,ENG40,Q1,76,0
66,2011,100,6,GYM10,Q1,88,0
66,2011,100,6,HIST40,Q1,80,0
66,2011,100,6,MATH41,Q1,79,0
66,2011,100,6,RHET40,Q1,71,0
66,2011,100,6,SCI30,Q1,82,0
83,2011,98,2,ART10,Q1,94,0
83,2011,98,2,ENG40,Q1,91,0
83,2011,98,2,HIST40,Q1,79,0
83,2011,98,2,MATH41,Q1,93,0
83,2011,98,2,RHET40,Q1,86,0
83,2011,98,2,SCI30,Q1,82,0
89,2011,89,1,DRA10,Q1,89,0
89,2011,89,1,ENG40,Q1,83,0
89,2011,89,1,HIST40,Q1,82,0
89,2011,89,1,MATH40,Q1,68,1
89,2011,89,1,RHET40,Q1,88,0
89,2011,89,1,SCI40,Q1,84,0
89,2011,89,1,SPAN40,Q1,77,0
111,2011,96,10,ART10,Q1,90,0
111,2011,96,10,ENG40,Q1,90,0
111,2011,96,10,HIST40,Q1,90,0
111,2011,96,10,MATH40,Q1,83,0
111,2011,96,10,RHET40,Q1,92,0
111,2011,96,10,SCI45,Q1,77,0
118,2011,96,8,DRA10,Q1,93,0
118,2011,96,8,ENG40,Q1,94,0
118,2011,96,8,HIST40,Q1,81,0
118,2011,96,8,MATH40,Q1,83,0
118,2011,96,8,RHET40,Q1,88,0
118,2011,96,8,SCI45,Q1,79,0
118,2011,96,8,SPAN40,Q1,86,0
126,2011,91,6,DRA10,Q1,87,0
126,2011,91,6,ENG30,Q1,79,0
126,2011,91,6,HIST30,Q1,78,0
