studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
525,2014,80,65,ENG30,Q2,92,
525,2014,86,41,ENG30,Q1,79,
525,2014,86,41,ENG40,Q1,70,
525,2014,80,65,ENG40,Q2,70,
525,2014,80,65,MATH22,Q2,56,
525,2014,86,41,MATH22,Q1,63,
604,2014,90,5,GYM10,Q1,85,
604,2014,94,10,GYM10,Q2,82,
604,2014,94,10,SCI32,Q2,78,
604,2014,90,5,SCI32,Q1,88,
621,2014,95,33,MATH73,Q1,91,
621,2014,72,27,MATH73,Q2,73,
621,2014,72,27,WRI72,Q2,77,
621,2014,95,33,WRI72,Q1,96,
811,2014,66,49,ENG40,Q2,50,
811,2014,71,39,ENG40,Q1,64,
811,2014,71,39,GYM30,Q1,76,
811,2014,66,49,GYM30,Q2,91,
1047,2014,62,12,MATH20,Q2,50,
1047,2014,83,33,MATH20,Q1,63,
1053,2014,100,30,SPAN11,Q1,81,
1053,2014,100,25,SPAN11,Q2,86,
1058,2014,78,13,HIST40,Q2,74,
1058,2014,86,8,HIST40,Q1,85,
1061,2014,90,38,MATH32,Q2,70,
1061,2014,95,25,MATH32,Q1,75,
1061,2014,95,25,SCI30,Q1,71,
1061,2014,90,38,SCI30,Q2,70,
1069,2014,90,9,ENG05,Q1,100,
1069,2014,96,14,ENG05,Q2,93,
1069,2014,96,14,HIST45,Q2,77,
1069,2014,90,9,HIST45,Q1,78,
1071,2014,94,26,FREN30,Q2,80,
1071,2014,95,26,FREN30,Q1,78,
1072,2014,81,28,ENG05,Q1,50,
1072,2014,94,35,ENG05,Q2,50,
1075,2014,80,17,SCI41,Q2,80,
1075,2014,90,10,SCI41,Q1,84,
1076,2014,100,8,MATH40,Q1,72,
1076,2014,100,7,MATH40,Q2,72,
1088,2014,98,13,HIST71,Q1,90,
1088,2014,96,18,HIST71,Q2,88,
1090,2014,88,41,GYM33,Q1,90,
1090,2014,98,44,GYM33,Q2,90,
1090,2014,98,44,SCI20,Q2,76,
1090,2014,88,41,SCI20,Q1,80,
1094,2014,90,32,GYM31,Q2,90,
1094,2014,86,20,GYM31,Q1,70,
1094,2014,86,20,SCI30,Q1,72,
1094,2014,90,32,SCI30,Q2,61,
1096,2014,84,21,GYM31,Q2,95,
1096,2014,98,14,GYM31,Q1,91,
1113,2014,79,63,ENG40,Q1,73,
1113,2014,66,54,ENG40,Q2,50,
1113,2014,66,54,GYM10,Q2,90,
1113,2014,79,63,GYM10,Q1,95,
1113,2014,79,63,MATH42,Q1,100,
1113,2014,66,54,MATH42,Q2,100,
1115,2014,83,21,ENG05,Q1,50,
1115,2014,94,31,ENG05,Q2,100,
1120,2014,88,34,ART20,Q2,79,
1120,2014,95,42,ART20,Q1,77,
1125,2014,88,8,THE13,Q2,75,
1125,2014,88,20,THE13,Q1,85,
